title,director,plot,box_office,imdbrating,released
Boys (1996),Stacy Cochran,25 y.o. Patty is thrown off her horse and knocked out. Students from a boys' boarding school find her and smuggle her to John's room at the school as cops are looking for her at home.,"$516,349",4.9,10 May 1996
"Quest, The (1996)",Britt Allcroft,"From Britt Allcroft, creator of Thomas &amp; Friends, comes Mumfie's Quest. Discover how Mumfie the special elephant first meets his friends Scarecrow, Pinkey, Whale and many more. Share the excitement as they hunt for Pinkey's mother...",N/A,8.1,24 Dec 1996
Cosi (1996),Mark Joffe,Lewis is a young Sydney amateur theater director at his first experience: he is offered a job with a Governmental program for the rehabilitation of mentally ill patients in a Sydney institution for mentally ill. His project is ove...,"$35,489",6.6,11 Apr 1997
Sunset Park (1996),Steve Gomer,"A white school teacher takes over a talented, but undisciplined black high school basketball team and turns them into a winning team.","$10,163,782",5.9,26 Apr 1996
Mulholland Falls (1996),Lee Tamahori,"In 1950's Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.","$11,526,099",6.3,26 Apr 1996
"Truth About Cats & Dogs, The (1996)",,,,,
Oliver & Company (1988),George Scribner,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,"$74,151,346",6.6,18 Nov 1988
Celtic Pride (1996),Tom DeCerchio,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.,"$9,255,027",5.3,19 Apr 1996
Flipper (1996),Alan Shapiro,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,"$20,080,020",5.3,17 May 1996
Captives (1994),Angela Pope,"A beautiful young dentist (Ormond) working in a tough British prison starts to become attracted to a violent inmate (Roth) after the break-up of her marriage, and embarks upon an illicit affair with him, with terrible consequences...",N/A,6.3,03 May 1996
Of Love and Shadows (1994),Betty Kaplan,"Chile 1973 is ruled by the dictator Pinochet. The wealthy don't see the violence, terror, executions etc. including Irene. She's engaged to an officer in the fascist military. She meets Francisco who opens her eyes to truth and love.","$19,710",4.9,10 May 1996
Dead Man (1995),Jim Jarmusch,"On the run after murdering a man, accountant William Blake encounters a strange Native American man named Nobody who prepares him for his journey into the spiritual world.","$1,037,847",7.5,10 May 1996
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",,,,,
Switchblade Sisters (1975),Jack Hill,The leader of an inner-city girl gang is challenged when a new girl moves into the neighborhood.,"$51,264",6.5,24 Nov 1976
Mouth to Mouth (Boca a boca) (1995),,,,,
"Visitors, The (Les Visiteurs) (1993)",,,,,
Multiplicity (1996),Harold Ramis,A family man who never has enough time for the things he wants to do takes advantage of the opportunity to have himself cloned.,"$21,075,014",6.1,17 Jul 1996
Wallace & Gromit: The Best of Aardman Animation (1996),Nick Park,A collection of some of the most popular work featuring Wallace and Gromit.,N/A,8.6,14 Jun 1996
Halfmoon (Paul Bowles - Halbmond) (1995),,,,,
"Haunted World of Edward D. Wood Jr., The (1995)",,,,,
Two Friends (1986),,,,,
"Craft, The (1996)",,,,,
"Great White Hype, The (1996)",,,,,
Last Dance (1996),Bruce Beresford,A lawyer assigned to the clemency case of a woman on death row finds himself forming a deep friendship with her while he tries to prevent her impending execution.,"$5,939,449",5.7,03 May 1996
War Stories (1995),Gaylene Preston,"Seven New Zealand women speak about their lives during World War II: some lost husbands, some got married, some went into service themselves. The director lets the women tell their stories simply, alternating between them talking ...",N/A,7.7,09 May 1996
Cold Comfort Farm (1995),John Schlesinger,"A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives.","$5,682,429",7.2,10 May 1996
"Institute Benjamenta, or This Dream People Call Human Life (1995)",,,,,
"Low Life, The (1994)",,,,,
Heaven's Prisoners (1996),Phil Joanou,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.","$5,009,305",5.8,17 May 1996
Original Gangstas (1996),"Larry Cohen, Fred Williamson","When a gang shoots his father, Bookman (Fred Williamson) returns to his hometown, rounds up some of his own people and begins an all-out war to restore the neighborhood to its rightful sense of justice.","$3,718,087",5.7,10 May 1996
"Rock, The (1996)",Mitchell Kozuchowski,N/A,N/A,N/A,N/A
Getting Away With Murder (1996),Harvey Miller,"A moral college ethics professor plans to kill his neighbor, a Nazi death camp commander.","$197,322",4.7,12 Apr 1996
Cemetery Man (Dellamorte Dellamore) (1994),,,,,
Twister (1996),Jan de Bont,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.,"$241,830,615",6.6,10 May 1996
Barb Wire (1996),David Hogan,"During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life.","$3,793,614",3.5,03 May 1996
"Garcu, Le (1995)",,,,,
Honigmond (1996),Gabriel Barylli,N/A,N/A,4.1,11 Apr 1996
Ghost in the Shell (Kokaku kidotai) (1995),,,,,
Thinner (1996),Tom Holland,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.,"$15,315,484",5.8,25 Oct 1996
Spy Hard (1996),Rick Friedberg,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot KGB Agent Veronique Ukrinsky to find Rancor and save the ...","$26,960,191",5.3,24 May 1996
Brothers in Trouble (1995),Udayan Prasad,"Amir is an illegal Pakistani immigrant smuggled into England in the 1960's to work, to send money to his family and perhaps even bring them over with him. A skilled laborer, he is forced to do unskilled work like shoveling sheep d...","$8,000",6.6,14 May 1997
"Close Shave, A (1995)",,,,,
Force of Evil (1948),Abraham Polonsky,An unethical lawyer who wants to help his older brother becomes a partner with a client in the numbers racket.,"$948,000",7.2,01 Mar 1949
"Stupids, The (1996)",,,,,
"Arrival, The (1996)",,,,,
"Man from Down Under, The (1943)",,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),,,,,
Careful (1992),Guy Maddin,"The wary residents of a 19th century mountain village must tread carefully and speak softly lest they cause an avalanche. Sexual frenzies teem in this world of repression, setting off incestuous love triangles with deadly conseque...",N/A,7.0,03 Mar 1994
Vermont Is For Lovers (1992),John O'Brien,N/A,"$58,546",6.6,25 Sep 1992
"Month by the Lake, A (1995)",,,,,
Gold Diggers: The Secret of Bear Mountain (1995),Kevin James Dobson,"A city girl teams up with a tomboy to solve the mystery of Bear Mountain, Molly Morgan, and the buried treasure as well as learn about true friendships.","$6,029,091",6.0,03 Nov 1995
Kim (1950),Victor Saville,"During the British Raj, the orphan of a British soldier poses as a Hindu and is torn between his loyalty to a Buddhist mystic and aiding the English secret service.",N/A,6.5,26 Jan 1951
Carmen Miranda: Bananas Is My Business (1994),,,,,
Ashes of Time (1994),Wong Kar-Wai,A broken-hearted hit man moves to the desert where he finds skilled swordsmen to carry out his contract killings.,"$174,273",7.0,17 Sep 1994
"Jar, The (Khomreh) (1992)",,,,,
Maya Lin: A Strong Clear Vision (1994),Freida Lee Mock,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,"$62,186",7.3,10 Nov 1995
Stalingrad (1993),Joseph Vilsmaier,"The story follows a group of German soldiers, from their Italian R&amp;R in the summer of 1942 to the frozen steppes of Soviet Russia and ending with the battle for Stalingrad.","$152,972",7.5,21 Jan 1993
"Phantom, The (1996)",Kevin Gorman,HBO First Look's episode on The Phantom (1996).,N/A,N/A,N/A
Striptease (1996),Andrew Bergman,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,"$33,109,743",4.6,28 Jun 1996
"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",,,,,
Heavy (1995),James Mangold,"The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.","$941,414",6.7,05 Jun 1996
Jack (1996),Francis Ford Coppola,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.","$58,620,973",5.8,09 Aug 1996
I Shot Andy Warhol (1996),Mary Harron,"The story of Valerie Solanas, a '60s radical who preached misandry in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce, but after he repeatedly ignored her, she shot him.","$1,875,527",6.6,01 May 1996
"Grass Harp, The (1995)",,,,,
Someone Else's America (1995),Goran Paskaljevic,"This tale take place in a bar. The Spanish Alonso and his blind mother run this place. Bay, who is Alonso's friend live here too. This story tells something about Alonso and Bay and the ""American Dream"".",N/A,7.1,10 May 1996
Marlene Dietrich: Shadow and Light (1996),Chris Hunt,"Following the life of Marlene Dietrich through her films (including home movies) and interviews with family, friends, co-workers, acquaintances, and presumed lovers. From the cabaret scene in 1920's Berlin, silent films in Germany...",N/A,7.1,02 Apr 1996
Costa Brava (1946),Julio de Fleischner,N/A,N/A,N/A,N/A
"Vie est belle, La (Life is Rosey) (1987)",,,,,
Quartier Mozart (1992),Jean-Pierre Bekolo,A young girl crosses paths with a witch who has the power to satisfy her curiosity about men by changing her into one.,N/A,6.3,21 Mar 1994
Touki Bouki (Journey of the Hyena) (1973),,,,,
Wend Kuuni (God's Gift) (1982),,,,,
Spirits of the Dead (Tre Passi nel Delirio) (1968),,,,,
Babyfever (1994),"Victoria Foyt, Henry Jaglom","Gena is an average woman who is torn between her current boyfriend's desire to marry her and start a family, and the unexpected arrival of an old boyfriend wanting to pick up where they left off. To further complicate matters, she...","$269,904",5.5,04 May 1994
Pharaoh's Army (1995),Robby Henson,"During the American Civil War, a Union Army captain leads his rag-tag cavalry troop up a misty creek to a remote farm to appropriate enemy (Confederate) livestock. The farm is worked by Sarah Anders, whose husband is away fighting...","$50,652",6.5,01 Apr 1995
Trainspotting (1996),Danny Boyle,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.","$16,491,080",8.1,09 Aug 1996
'Til There Was You (1997),Scott Winant,"Two strangers, whose paths are always crossing, finally meet when fate steps in.","$3,525,125",4.8,30 May 1997
Independence Day (ID4) (1996),,,,,
Stealing Beauty (1996),Bernardo Bertolucci,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.","$4,722,310",6.5,14 Jun 1996
"Fan, The (1996)",,,,,
"Hunchback of Notre Dame, The (1996)",,,,,
"Cable Guy, The (1996)",,,,,
Kingpin (1996),"Bobby Farrelly, Peter Farrelly","An amateur state bowling champion whose professional aspirations are prematurely dashed when he gets ""Munsoned"" hopes to ride a new bowling prodigy to success and riches by becoming his manager.","$25,023,434",6.9,26 Jul 1996
Eraser (1996),Chuck Russell,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,"$101,295,562",6.2,21 Jun 1996
"Gate of Heavenly Peace, The (1995)",,,,,
"Nutty Professor, The (1996)",,,,,
"I, Worst of All (Yo, la peor de todas) (1990)",,,,,
An Unforgettable Summer (1994),,,,,
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",,,,,
"Hungarian Fairy Tale, A (1987)",,,,,
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),,,,,
Midnight Dancers (Sibak) (1994),,,,,
Somebody to Love (1994),Alexandre Rockwell,"Mercedes is a taxi dancer who wants to be an actress. She's involved with the married Harry, who considers himself a respected actor. Ernesto is in love with Mercedes, but he doesn't dance or have money.","$18,112",5.4,27 Sep 1996
"Very Natural Thing, A (1974)",,,,,
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",,,,,
Daylight (1996),Rob Cohen,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.,"$33,023,469",6.0,06 Dec 1996
"Frighteners, The (1996)",,,,,
Lone Star (1996),John Sayles,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.","$12,408,986",7.4,21 Jun 1996
Harriet the Spy (1996),Bronwen Hughes,"Harriet M. Welsch is a spy. But when her friends find her secret notebook, the tables are turned on her. Can she win them back and still keep on going with the spy business?","$26,570,048",6.0,10 Jul 1996
Phenomenon (1996),Jon Turteltaub,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.","$104,636,382",6.4,03 Jul 1996
Walking and Talking (1996),Nicole Holofcener,"Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.","$1,287,480",6.7,17 Jul 1996
She's the One (1996),Edward Burns,"The love lives of two brothers, Mickey and Francis, interconnect as Francis cheats on his wife with Mickey's ex-girlfriend, while Mickey impulsively marries a stranger.","$9,538,948",6.0,23 Aug 1996
"Time to Kill, A (1996)",,,,,
American Buffalo (1996),Michael Corrente,Long-repressed feelings of bitterness and betrayal explode when three inner-city losers plot the robbery of a valuable coin in a seedy second-hand junk shop.,"$665,450",5.8,13 Sep 1996
"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",,,,,
Alaska (1996),Fraser C. Heston,"While searching for their missing father in the mountains of Alaska, two siblings come across a baby polar bear on the run from a pair of poachers.","$11,829,959",5.7,14 Aug 1996
Fled (1996),Kevin Hooks,Two prisoners chained together flee during an escape attempt gone bad.,"$17,193,231",5.4,19 Jul 1996
Kazaam (1996),Paul Michael Glaser,"A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests.","$18,937,262",3.1,17 Jul 1996
"Bewegte Mann, Der (1994)",,,,,
Magic Hunter (1994),,,,,
Larger Than Life (1996),Howard Franklin,A motivational speaker discovers that the inheritance his father left for him is in the form of an elephant.,"$8,315,693",5.6,01 Nov 1996
"Boy Called Hate, A (1995)",,,,,
Power 98 (1995),,,,,
Two Deaths (1995),Nicolas Roeg,"A tale of power, passion, and obsession set in a politically torn Eastern European country.",N/A,6.4,24 May 1996
"Very Brady Sequel, A (1996)",,,,,
Stefano Quantestorie (1993),Maurizio Nichetti,"What would it have happened if...? Italian director Maurizio Nichetti replies to this question in this humorous film, where he plays six different roles who meet one another in a way or another during a night.",N/A,7.0,05 Feb 1993
"Death in the Garden (Mort en ce jardin, La) (1956)",,,,,
"Crude Oasis, The (1995)",,,,,
Hedd Wyn (1992),Paul Turner,"A young poet living in the North Wales countryside competes for the most coveted prize of all in Welsh Poetry - that of the chair of the National Eisteddfod, a tradition dating back a hundred years. Before the winner is announced ...",N/A,7.1,12 Jan 1996
"Collectionneuse, La (1967)",,,,,
Kaspar Hauser (1993),Peter Sehr,"Kaspar Hauser is the son of the duke of Baden. At the age of one he was swapped by another baby that has been killed right after the change. The real Kaspar Hauser grew up in prison without light, social contacts and education for...",N/A,6.9,07 Jun 1996
Echte Kerle (1996),,,,,
Diebinnen (1995),,,,,
"Convent, The (Convento, O) (1995)",,,,,
"Adventures of Pinocchio, The (1996)",,,,,
Joe's Apartment (1996),John Payson,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.","$4,619,014",5.5,26 Jul 1996
"First Wives Club, The (1996)",,,,,
Stonewall (1995),Nigel Finch,A group of homosexual people try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.,"$692,400",7.1,03 Sep 1996
Ransom (1996),Ron Howard,"Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty.","$136,492,681",6.7,08 Nov 1996
High School High (1996),Hart Bochner,"Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.","$21,302,121",5.6,25 Oct 1996
Phat Beach (1996),Doug Ellin,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun &amp; fun.,"$1,383,553",4.0,02 Aug 1996
Foxfire (1996),Annette Haywood-Carter,"Legs Sadovsky gets four other high school girls to think for themselves and react to a teacher's sexual harassment, which gets them suspended. They bond, and rebel, at an abandoned house.","$269,300",6.1,23 Aug 1996
Chain Reaction (1996),Andrew Davis,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,"$21,226,204",5.7,02 Aug 1996
Matilda (1996),Danny DeVito,A girl gifted with a keen intellect and psychic powers uses both to get even with her callous family and free her kindly schoolteacher from the tyrannical grip of a sadistic headmistress.,"$33,459,416",7.0,02 Aug 1996
Emma (1996),Douglas McGrath,"While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love.","$22,231,658",6.6,30 Aug 1996
"Crow: City of Angels, The (1996)",,,,,
House Arrest (1996),Harry Winer,"Desperate to keep their various parents from getting divorced, a group of teenagers kidnaps them and holds them prisoner in a basement to force them to reconcile.","$7,032,782",5.8,14 Aug 1996
Eyes Without a Face (1959),,,,,
Tales from the Crypt Presents: Bordello of Blood (1996),,,,,
Lotto Land (1995),John Rubino,"This film tells two interwoven stories of two single-parent families in a poor, racially-mixed neighborhood in Brooklyn. The first story is about a young black man (with aspirations of getting away from his friends who are involve...",N/A,6.4,19 Apr 1996
"Story of Xinghua, The (1993)",,,,,
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",,,,,
Flirt (1995),Hal Hartley,"Three short films about lovers' ultimatums are set in New York, Berlin and Tokyo.","$263,192",6.3,07 Aug 1996
"Big Squeeze, The (1996)",,,,,
"Spitfire Grill, The (1996)",,,,,
Escape from L.A. (1996),John Carpenter,"In 2013, Snake Plissken is tasked by a despotic U.S. President with entering Los Angeles - now an autonomous island prison - and recovering a doomsday device stolen by his daughter.","$25,477,365",5.7,09 Aug 1996
Cyclo (1995),Anh Hung Tran,"When a poor bicycle-taxi driver has his cyclo stolen, he is forced into a life of crime. Meanwhile, his sister becomes a prostitute.","$284,692",7.1,02 Aug 1996
Basquiat (1996),Julian Schnabel,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.","$3,046,399",6.9,09 Aug 1996
Tin Cup (1996),Ron Shelton,A washed-up golf pro working at a driving range tries to qualify for the U.S. Open in order to win the heart of his successful rival's girlfriend.,"$53,854,588",6.4,16 Aug 1996
Dingo (1992),Don Featherstone,"Biographical look at Ernie Dingo, as he takes us on a journey through his life from childhood through to his successful film career. Plus his fight for, himself &amp; his race, recognition and acceptance in a world that was not always...",N/A,6.6,N/A
"Ballad of Narayama, The (Narayama Bushiko) (1958)",,,,,
Every Other Weekend (1990),,,,,
Mille bolle blu (1993),Leone Pompucci,"A Roman tenement block, 1961: Sandrino waits for the total solar eclipse, fugitive Caligiuri returns to his wife, the Rossi brothers are obsessed with the legacy of their dying father, a family waits for the results of an eye oper...",N/A,6.5,17 Sep 1993
Crows and Sparrows (1949),Junli Zheng,A story of a corrupt party official who attempts to sell an apartment building he has appropriated from the original owner and the struggles of the tenants to prevent themselves being thrown onto the street.,N/A,7.2,11 Jan 1949
"Godfather, The (1972)",,,,,
"Hippie Revolution, The (1996)",,,,,
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",,,,,
Supercop (1992),Stanley Tong,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,"$16,270,600",7.0,26 Jul 1996
Manny & Lo (1996),Lisa Krueger,A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.,"$502,313",6.6,26 Jul 1996
Celestial Clockwork (1994),,,,,
"Wife, The (1995)",,,,,
Small Faces (1995),Gillies MacKinnon,Glaswegian teenager Lex is torn between the artistic life of middle brother Alan and the thuggish world of elder brother Bobby.,"$155,239",6.9,14 Aug 1996
Bound (1996),"Lana Wachowski, Lilly Wachowski",Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,"$3,802,260",7.3,04 Oct 1996
Carpool (1996),Arthur Hiller,"When his wife falls ill, a father finds himself carpooling for the neighborhood schoolchildren--and being taken hostage by a bank robber.","$3,325,651",5.0,23 Aug 1996
Death in Brunswick (1991),,,,,
Kansas City (1996),Robert Altman,A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,"$1,356,329",6.3,16 Aug 1996
Gone Fishin' (1997),Christopher Cain,Two lifelong fishing buddies must overcome a series of obstacles to enjoy their ultimate fishing trip.,"$19,745,922",4.8,30 May 1997
Lover's Knot (1996),,,,,
Aiqing wansui (1994),,,,,
Shadow of Angels (Schatten der Engel) (1976),,,,,
Killer: A Journal of Murder (1995),Tim Metcalfe,"A prison guard at Leavenworth with lofty ideals and hopes of reform struggles to understand a violent, hateful and conscienceless convict. The result is a written testimonial to a crime that no one could have predicted.","$82,029",6.3,06 Sep 1996
Nothing to Lose (1994),Izidore K. Musallam,"A young street fighter seeks revenge against a powerful drug lord who killed his entire family. Using of his many special combat skills, he's about to take down a whole criminal operation, reaching his goal whatever the consequences.",N/A,6.0,01 Jan 1994
Police Story 4: Project S (Chao ji ji hua) (1993),,,,,
Girls Town (1996),Jim McKay,"A look at a group of girl friends coming-of-age during their senior year of high school in urban America. Nikki and Emma have a heart to heart talk one evening about how much they'll miss each other at college next year, but the n...","$503,667",6.4,21 Aug 1996
Bye-Bye (1995),Karim Dridi,"In Paris, Ismaél, a young Tunisian, cares for two brothers, Nouredine, a cripple, and streetwise Mouloud, 14. In haste, Ismaél and Mouloud go to Marseilles where an uncle lives. Nouredine has died in a fire, and Ismaél feels guilt...",N/A,7.0,13 Sep 1996
"Relic, The (1997)",,,,,
"Island of Dr. Moreau, The (1996)",,,,,
First Kid (1996),David Mickey Evans,"A former boxer turned Secret Service agent is assigned to protect the President's son, who seems determined to make life difficult for his new protector.","$26,491,793",5.3,30 Aug 1996
"Trigger Effect, The (1996)",,,,,
Sweet Nothing (1995),Gary Winick,"Angel celebrates the birth of his daughter by taking his first hit of crack cocaine. With the hesitant support of his wife, Monika, he joins a friend of his to deal drugs for a short time--enough time to get out of debt and buy so...","$102,350",6.2,06 Sep 1996
Bogus (1996),Norman Jewison,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.","$4,357,406",5.4,06 Sep 1996
Bulletproof (1996),Ernest R. Dickerson,"Two criminals, Keats and Moses, end their friendship, when Keats turns out to be an undercover cop. Many years later, the two are forced to work together when Keats is assigned to protect Moses as a witness.","$21,576,954",5.8,06 Sep 1996
Talk of Angels (1998),Nick Hamm,"A young Irishwoman becomes governess to 3 daughters of a rich family in Spain in 1936, just before the civil war. The mom likes Franco - the dad doesn't. She becomes family. She befriends 5 Irishwomen.","$18,281",5.8,30 Oct 1998
Land Before Time III: The Time of the Great Giving (1995),Roy Allen Smith,"When a sudden shortage of water threatens all life in the great valley, The gang of young dinosaur must cooperate with a group of bullies to make a risky journey outside the valley and find the cause.",N/A,5.7,15 Dec 1995
1-900 (1994),Theo van Gogh,"Sarah, 30, single, well educated, likes art, places a voice ad for phone sex, inviting replies from men under 35, sturdy and sensual.",N/A,6.2,01 Sep 1994
Baton Rouge (1988),Rafael Moleón,"Poor gigolo tries to frame his rich mature mistress, but gets tangled in his own wiles.",N/A,6.0,10 Oct 1988
Halloween: The Curse of Michael Myers (1995),Joe Chappelle,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.","$15,116,634",4.7,29 Sep 1995
Twelfth Night (1996),Trevor Nunn,"Shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves.","$588,621",7.1,25 Oct 1996
Mother Night (1996),Keith Gordon,"An American spy behind the lines during WWII serves as a Nazi propagandist, a role he cannot escape in his future life as he can never reveal his real role in the war.","$403,701",7.1,01 Nov 1996
Liebelei (1933),,,,,
Venice/Venice (1992),Henry Jaglom,Dean is a maverick American film director surprised that his most recent film has been chosen as the Official U.S. Entry at the Venice Film Festival. A beautiful French journalist arrives at the festival with the apparent intentio...,"$661,080",6.2,09 Oct 1992
Wild Reeds (1994),André Téchiné,The fates of two partners are divided.,"$807,775",7.3,10 May 1995
For Whom the Bell Tolls (1943),Sam Wood,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.",N/A,6.8,16 Jul 1943
"Philadelphia Story, The (1940)",,,,,
Singin' in the Rain (1952),"Stanley Donen, Gene Kelly",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"$1,884,537",8.3,10 Apr 1952
"American in Paris, An (1951)",,,,,
Funny Face (1957),Stanley Donen,An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.,N/A,7.0,13 Feb 1957
Breakfast at Tiffany's (1961),Blake Edwards,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",N/A,7.5,06 Oct 1961
Vertigo (1958),Alfred Hitchcock,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","$7,863,310",8.2,28 May 1958
Rear Window (1954),Alfred Hitchcock,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,"$37,622,343",8.5,01 Sep 1954
It Happened One Night (1934),Frank Capra,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,N/A,8.1,22 Feb 1934
Gaslight (1944),George Cukor,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the house rises from a secret that may require driving his wif...",N/A,7.8,16 Jun 1944
"Gay Divorcee, The (1934)",,,,,
North by Northwest (1959),Alfred Hitchcock,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","$66,728",8.3,18 Dec 1959
"Apartment, The (1960)",,,,,
Some Like It Hot (1959),Billy Wilder,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",N/A,8.2,19 Mar 1959
Charade (1963),Stanley Donen,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,N/A,7.8,05 Dec 1963
Casablanca (1942),Michael Curtiz,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"$4,219,709",8.5,23 Jan 1943
"Maltese Falcon, The (1941)",,,,,
My Fair Lady (1964),George Cukor,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.","$72,560,711",7.7,25 Dec 1964
Sabrina (1954),Billy Wilder,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved ...",N/A,7.6,15 Oct 1954
Roman Holiday (1953),William Wyler,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,N/A,8.0,02 Sep 1953
"Little Princess, The (1939)",,,,,
Meet Me in St. Louis (1944),Vincente Minnelli,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,"$415,008",7.5,01 Jan 1945
"Wizard of Oz, The (1939)",,,,,
Gone with the Wind (1939),Victor Fleming,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"$200,882,193",8.2,17 Jan 1940
My Favorite Year (1982),Richard Benjamin,"An aging, dissolute matinee idol is slated to appear on a live TV variety show in 1954, and a young comedy writer is tasked with the thankless job of keeping him ready and sober for the broadcast.","$20,123,620",7.3,08 Oct 1982
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),,,,,
